Reference, Quantity, Value, Footprint, Datasheet, part#, rs#
C10 C20 C21 ,3,100nF,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,,,
C11 C22 ,2,10uF,Capacitors_THT:CP_Radial_D5.0mm_P2.00mm,,,
C12 C13 ,2,10nF,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,,UofG,
C14 C15 ,2,10pF,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,,UofG,
C16 C17 C18 C19 ,4,1nF,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,,UofG,
C8 ,1,10uF,Capacitors_THT:CP_Radial_D5.0mm_P2.00mm,,UofG,
C1 C2 C3 C4 C9 ,5,100nF,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,,UofG,
D1 D2 D3 D4 ,4,D,Diodes_THT:D_T-1_P10.16mm_Horizontal,,UofG,
D5 D7 ,2,LED,LEDs:LED_D3.0mm,,UofG,
J1 ,1,CONN_02X20,Pin_Headers:Pin_Header_Straight_2x20_Pitch2.54mm,,UofG,
J14 J15 J17 J18 J19 J20 ,6,GS2,Connectors:GS2,,,
J2 ,1,CONN_01X04,Connectors_Terminal_Blocks:TerminalBlock_Altech_AK300-4_P5.00mm,,UofG,
J10 J11 J3 J4 J5 J6 J7 J8 J9 ,9,CONN_01X02,Connectors_Terminal_Blocks:TerminalBlock_Altech_AK300-2_P5.00mm,,UofG,
Q1 Q2 ,2,BFY51,TO_SOT_Packages_THT:TO-92_Molded_Narrow,,UofG,
R1 R2 ,2,3K9,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,UofG,
R11 R12 R13 R14 R15 R16 R17 R18 R19 R21 ,10,R,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,UofG,
R20 ,1,0R,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,UofG,
R3 R4 R7 R8 ,4,1K,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,UofG,
R10 R5 R6 R9 ,4,100K,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,,UofG,
SW1 ,1,SW_SPDT,BowlsEye:SPDT,,UofG,
U1 ,1,ADC122S101,BowlsEye:MyVSSOP-8_3.0x3.0mm_Pitch0.65mm,,ADC122S101CIMM/NOPB ,651-2278
U2 ,1,L298_TH,TO_SOT_Packages_THT:TO-220-15_Vertical_StaggeredType1,,UofG,
U3 ,1,L78S05CV,TO_SOT_Packages_THT:TO-220-3_Horizontal,,UofG,
U4 ,1,LD1117S33TR_SOT223,TO_SOT_Packages_THT:TO-220-3_Horizontal,,UofG,
U5 ,1,LM324N,Housings_DIP:DIP-14_W7.62mm_LongPads,,UofG,
U6 U7 ,2,transducer_r,BowlsEye:transducer,,MA40S4R ,237-0783
U8 U9 ,2,transducer_t,BowlsEye:transducer,,MA40S4S,237-0799
