Refs,datasheet,footprint,value,part#,rs#
"C12, C13",,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,10nF,UofG,
"C14, C15",,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,10pF,UofG,
C16-C19,,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1nF,UofG,
C4,,Capacitors_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,100nF,UofG,
D1-D4,,Diodes_THT:D_T-1_P10.16mm_Horizontal,D,UofG,
"J3-J6, J8-J11",,Connectors_Terminal_Blocks:TerminalBlock_Altech_AK300-2_P5.00mm,CONN_01X02,UofG,
"Q1, Q2",,TO_SOT_Packages_THT:TO-92_Molded_Narrow,BFY51,UofG,
"R1, R2",,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3K9,UofG,
"R5, R6, R9, R10",,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,100K,UofG,
R11-R18,,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,R,UofG,
"R3, R4, R7, R8",,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1K,UofG,
U5,,Housings_DIP:DIP-14_W7.62mm_LongPads,LM324N,UofG,
"U6, U7",,BowlsEye:transducer,transducer_r,MA40S4R ,237-0783
"U8, U9",,BowlsEye:transducer,transducer_t,MA40S4S,237-0799
